Structure_name,Enthalpy_grid_kjmol,Henry_coeff_molkgPa,time
ADOCEC_clean_118,-22.3501,4.52363e-08,0.704158
AFEDIA_clean_2,-12.8523,5.54184e-10,0.131468
ADAVEI_clean_199,-16.0841,1.86337e-07,3.39891
AFEKAX_clean_123,-24.8839,2.15198e-07,0.143452
ADOCIG_charged_118,-23.8955,2.64664e-08,0.530217
AFENEE_clean_34,-27.9307,4.02513e-08,0.324831
AFIPAH_clean_2,-22.8279,2.62873e-08,0.240764
acscombsci.5b00188_5020072_clean_1,-11.9874,2.9686e-07,7.26603
ADOGEH_clean_225,-20.409,1.54564e-07,1.21437
AFITEP_clean_2,-26.1554,1.0413e-07,0.718509
ADODII_clean_1,-24.3119,8.29844e-08,1.4847
acscombsci.5b00188_5013797_clean_1,-16.6348,2.06757e-07,7.9854
ADODOO_clean_1,-24.8263,8.33073e-08,1.52453
ADUWIH_clean_201,-17.2133,1.83435e-07,1.47787
ADODUU_clean_1,-25.05,8.3604e-08,1.68378
AFEJOK_ion_b_8,-21.4034,1.07876e-07,1.42571
AFOQUI_clean_1,-24.8577,1.48505e-08,0.652753
acs.jpcc.6b04690_jp6b04690_si_005_clean_2,-27.7775,9.37005e-08,6.2958
AFOYEB_clean_92,-22.7302,3.16035e-08,0.242062
AFIXAO_clean_14,-21.3672,6.98037e-08,1.67098
AFIXES_clean_14,-21.1384,6.99817e-08,1.54304
AFOYIE_clean_62,-16.7463,1.59009e-07,0.611119
AFOYAW_clean_2,-21.8019,1.04885e-07,1.26062
AFOYOK_clean_11,-19.1603,1.02194e-07,1.02867
AFOVAT_clean_1,-19.8521,1.22886e-07,2.0291
AFOTOF_clean_1,-19.8218,1.21564e-07,2.14242
AFOVEX_clean_1,-19.5476,1.26558e-07,2.09359
AFOTUL_clean_1,-19.6978,1.23245e-07,2.17641
AFOVIB_clean_1,-19.9051,1.20384e-07,2.09132
AFOVOH_clean_1,-19.7123,1.23917e-07,2.16549
AGESIP_clean_14,-19.8558,4.61057e-09,0.0813192
AFUPEX_clean_14,-20.3613,9.01144e-08,0.490399
AGARUW_clean_62,-19.6866,5.13177e-08,0.420552
AGIMOU_clean_14,-26.4306,2.16047e-08,0.120226
AGAYIQ_clean_15,-27.3247,1.27147e-08,0.428787
AGUBUA_clean_60,-24.7795,7.02265e-08,0.253134
AGONAM_clean_14,-21.8249,7.3445e-08,0.4389
AGUTUS_clean_14,-17.4096,2.74283e-09,0.141905
AFITIT_clean_5,-21.2682,8.97682e-08,4.06562
AGUWUV_clean_2,-22.934,2.55421e-08,0.161266
AHAMAY_clean_2,-25.7247,1.71421e-08,0.282786
AGONEQ_clean_7,-18.5923,1.26099e-07,1.08475
AGABIU_clean_11,-12.4818,1.59702e-07,1.70659
AGAYOW_clean_15,-24.9913,4.68313e-08,1.87304
AHINIP_clean_4,-26.7116,2.27509e-08,0.644421
acscombsci.5b00188_5024922_clean_1,-10.459,4.42222e-07,12.6064
AGAXOV_clean_2,-17.2974,1.46796e-07,2.51213
AHOJUC_clean_13,-16.148,1.41202e-09,0.0498128
AHOKAJ_clean_13,-15.2117,1.21162e-09,0.0419495
AHEBAS_clean_5,-26.0643,8.10025e-08,1.53491
AHOKIR01_clean_2,-28.6551,3.56553e-08,0.0701979
AHOKIR_clean_12,-22.6902,2.70336e-08,0.053912
AHOBEG_clean_2,-26.2192,3.86227e-08,0.475474
AHOKOX_clean_59,-21.9745,3.50232e-08,0.0755439
AFUKAP_clean_2,-20.6263,1.05167e-07,3.61813
AHUTIH01_clean_14,-21.5779,9.63008e-09,0.136939
AHUTIH_clean_14,-19.9854,9.15674e-09,0.133168
AHIYOH_clean_61,-26.076,6.41967e-08,1.43435
AHEQAH_clean_46,-17.5814,1.87708e-07,1.74483
AGUVOO_charged_60,-21.2241,7.4746e-08,2.31645
AJAMEF_clean_15,-29.1829,3.05419e-08,0.37032
AJINOY_clean_2,-24.9575,2.4814e-09,0.132951
AHOZAA_clean_60,-30.2726,5.22144e-08,1.12572
AJOTEY_clean_33,-17.953,8.07084e-08,0.653308
AHIYUN_clean_15,-39.9845,1.7427e-07,1.89049
AFITUF_clean_4,-21.1263,6.4337e-08,6.896
AJAYIT_clean_9,-24.2311,4.12233e-08,1.23133
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-18.2093,1.69249e-07,12.963
AJAKON_clean_14,-23.6998,5.44731e-08,1.46031
AJOXAA_clean_14,-22.0249,7.41973e-08,0.959776
AKUHOD01_clean_2,-10.4426,6.70001e-10,0.0820752
AJUNOK_clean_54,-26.053,3.8457e-08,0.658088
AKUHOD03_clean_1,-11.9719,8.19898e-10,0.173824
AKUHOD_clean_2,-10.7166,7.26448e-10,0.0888622
AJOVEB_clean_2,-21.9773,2.60382e-08,1.42343
AKOBAF_clean_15,-26.9042,7.20881e-08,0.642055
ALALUU01_clean_2,-11.3893,1.08924e-09,0.0823411
AKEDIF_clean_15,-22.678,1.56521e-07,0.931786
ALALUU_clean_2,-10.8909,1.01006e-09,0.0833559
ALATAK_clean_12,-16.1892,3.52737e-09,0.0620865
AKOHEO_clean_14,-17.3786,2.34407e-08,0.761858
AKUKUO_clean_2,-25.4168,7.20976e-08,0.563869
ALIFUY_clean_14,-28.8695,3.13198e-08,0.308448
ALEQIT_clean_2,-24.2259,3.3063e-08,0.734717
ALIBUT_clean_229,-16.847,4.88764e-08,0.69945
ALICAA_clean_229,-16.6604,4.26797e-08,0.733011
ALIPEQ_clean_21,-11.4784,3.28366e-09,0.300486
ALIXUP_clean_56,-15.9909,3.76655e-08,0.500389
AKOXIJ_clean_12,-28.8092,1.46206e-07,2.60755
ALOLES_ion_b_1,-21.3164,1.20357e-08,1.16992
ALAHUS_clean_122,-19.6668,7.68511e-08,2.37912
ALIXOJ_clean_14,-17.9089,1.1829e-07,1.55898
AJIGIL_clean_19,-20.185,5.82861e-08,4.32273
AKAYIV_clean_13,-17.6691,8.48269e-08,3.56633
ALUJUN_clean_2,-26.5293,5.60395e-08,0.199685
ALUKAU_clean_2,-26.5259,4.39409e-08,0.184816
ALIXAU_clean_h_1,-22.4767,2.95051e-08,2.11437
ALOLIY_clean_15,-15.2859,4.34952e-08,1.04448
AHUFIU_clean_14,-15.9064,1.22961e-07,7.58608
ALUJEX_clean_2,-22.8298,7.39287e-08,3.93009
ALUKUO_clean_15,-14.8713,2.46887e-07,3.83178
ALULAV_clean_15,-14.916,2.43794e-07,3.82747
ALUKOI_clean_15,-14.8583,2.47636e-07,4.3674
ALUKIC_clean_15,-14.8327,2.53012e-07,4.39622
AMAFOK_clean_2,-24.5971,7.26044e-08,0.398582
ALURAB_clean_18,-22.3096,8.56091e-08,2.09584
AMALND_clean_60,-19.6745,9.59353e-09,0.165295
ALULID_clean_2,-18.5259,1.35832e-07,3.1083
AGIREP_clean_2,-17.8927,1.4284e-07,13.1993
ALUREF_clean_18,-22.4079,8.60254e-08,2.06268
ALURIJ_clean_18,-22.7822,8.49887e-08,1.93605
AMIKOX_clean_54,-23.4063,1.16172e-09,0.173374
ADASUV_clean_2,-15.1836,2.28305e-07,20.837
AMEJIM_charged_148,-20.5599,4.0313e-08,0.774687
AMEJOS_charged_2,-25.8576,2.24853e-08,0.73786
AMIWID_clean_14,-27.1739,3.23244e-08,0.302205
AMIWOJ_clean_14,-27.0506,3.23167e-08,0.290294
ALUJIB_clean_1,-22.6559,7.49172e-08,7.66759
AMIWUP_clean_14,-27.2637,3.27335e-08,0.297233
AMIXAW_clean_14,-27.4564,3.21932e-08,0.302504
ALUJOH_clean_1,-22.1853,7.35452e-08,7.59062
ALOLET_charged_159,-18.0135,1.30234e-07,8.61516
AMIZIG_clean_62,-20.4102,3.55548e-08,0.557876
am301365h_si_002_clean_160,-18.047,1.24894e-07,3.2516
AMOZAE_clean_14,-20.045,6.64508e-09,0.154868
AMUCOB_clean_2,-26.5995,4.46449e-09,0.117317
AMOYOR_clean_2,-26.3984,5.93595e-08,0.596966
AMAGAX_clean_2,-23.5409,7.64011e-08,3.07022
