,Structures,unique_chemcomp,G_2080,G_0,G_Xe_900K,G_Kr_900K,G_900K,delta_G0_298_900,delta_H0_Xe_298_900,delta_TS0_298_900,enthalpy_std_xenon,enthalpy_std_krypton,enthalpy_skew,enthalpy_modality,mean_grid_xenon,mean_grid_krypton,std_grid_xenon,std_grid_krypton,ASA_m2/cm3_1.2,delta_VF_18_20,PO_VF_2.0,D_i_vdw_uff298,delta_pore,D_f_vdw_uff298,pore_dist_mean,pore_dist_std,pore_dist_skewness,pore_dist_kurtosis,pore_dist_neff,pore_dist_modality,C%,O%,N%
21,acs.cgd.5b01686_WAHFUJ1434675_clean,H11C558N155O186Cu31,-4.825802981649005,-5.036080717376369,-2.44772239778998,-0.8955143143305647,-1.5522080834594152,3.483872633916954,-0.8897000000000013,2.9073726339169546,2.5901,3.09494,1.61415,0.5295658465242047,16.4098,14.2295,59.7416,36.957,1952.75,0.04510000000000003,0.2072,5.25088,0.31238234741784066,4.22992,4.93849765258216,0.4004945255780207,-1.287025993998452,3.3247627750941757,2.4369662136756727,0.798985097260799,59.29861849096706,19.766206163655685,16.47183846971307
23,acs.inorgchem.5b02108_ic5b02108_si_002_clean,H4C248O155Ga31,-6.3719416263743085,-6.353454439233679,-14.321988252810483,-9.194316611620797,-5.127671641189686,1.2257827980439933,-2.4810000000000016,1.1859827980439936,2.72278,2.78749,0.362199,0.3632238755421764,0.134154,2.49253,52.6195,31.8927,2128.77,0.010699999999999987,0.4896,7.57784,0.11344885608856092,7.45535,7.464391143911439,0.1753370453690983,-5.237718439167212,30.21612706155616,1.107114591734441,0.941010553406372,56.62100456621004,35.38812785388128,0.0
24,ABAYIO_clean,H102C306O204Cl51Mn1,-4.759374844902378,-6.884362860788427,-7.205142881765593,-4.82162677230876,-2.383516109456833,4.5008467513315935,9.112300000000001,-1.5318532486684084,4.25662,4.30982,2.60401,0.7917460101775838,10.6643,11.0816,53.0916,32.341,3282.17,0.03789999999999999,0.4765,11.79229,2.517835171339563,4.65138,9.274454828660437,2.6071854517940944,-0.4663544801540377,1.6679857479898317,4.25446437787733,0.7299142109739205,46.08433734939759,30.72289156626506,0.0
25,acs.chemrev.6b00346_cr6b00346_si_001_clean,C340N136O34Zn1,-4.116581176586391,-4.056786791784293,-8.61208709522971,-6.2570000710353,-2.3550870241944093,1.7016997675898837,-2.1230999999999973,0.9077997675898812,2.57054,2.19811,1.10103,0.5090844170168308,7.20029,7.2479,48.6567,30.0162,3009.59,0.016000000000000014,0.6173,9.56697,1.6191128571428557,4.34274,7.947857142857144,1.523776692354646,-0.83618868032214,2.6914976414728766,5.544868167930293,0.6313256541324768,66.53620352250489,6.653620352250488,26.614481409001957
27,acs.jchemed.6b00258_ed6b00258_si_005_clean,H14C527N310O124Cu62,-5.878208997547427,-5.334795073387712,6.310978783458072,5.787268586215256,0.5237101972428162,5.858505270630528,0.21970000000000312,4.642205270630524,2.69827,2.30131,1.67591,0.5199832247860295,36.3169,29.8582,77.6307,44.7042,1667.91,0.05099999999999999,0.0641,4.57231,0.22494157894736766,3.33789,4.347368421052632,0.3544728050627945,-2.3648567520734427,7.118767768881689,1.7118018967334037,0.9260798598663934,50.81967213114754,11.957569913211186,29.89392478302797
28,ACOGEF_clean,H36C992N372O124Cd31I62,-7.5936455683989,-7.547146868994294,-8.903976198697807,-5.256979907180706,-3.646996291517101,3.900150577477193,-1.1792000000000016,2.3265505774771977,2.43997,1.88481,1.59776,0.47159821355233417,14.4207,12.9915,63.1211,38.6892,2449.61,0.04899999999999999,0.3199,5.4361,0.34594126984126916,3.98911,5.0901587301587305,0.3498729568226843,-1.590126625596061,6.777092946154378,3.5952389579332587,0.5206513638612179,61.34817563388992,7.66852195423624,23.00556586270872
29,ACODED,H13C651O217P31Cu31,-7.03808673859816,-7.850512691322181,-11.07988975737739,-6.036656485138699,-5.043233272238692,2.807279419083489,-1.3820999999999977,1.6373794190834872,2.77419,2.29451,1.14296,0.533890187897433,9.53558,10.1947,61.8889,37.5371,2325.46,0.0348,0.3312,6.25032,0.4729390476190485,4.03393,5.777380952380952,0.4191406146811395,-1.0809811982056576,4.508718667875831,3.6918247220405496,0.4809615570660085,69.03499469777307,23.01166489925769,0.0
30,ADABUE_clean,H14C527N310O124Cu62,-5.855662399669809,-5.334813809354774,6.311491970939634,5.786997134461166,0.5244948364784676,5.8593086458332415,0.21759999999999735,4.645308645833243,2.69826,2.30131,1.67591,0.5199825148744918,36.5355,29.715,77.8644,44.7055,1661.29,0.03689999999999999,0.1041,4.57231,0.2541281818181824,3.33789,4.3181818181818175,0.4122771540973785,-2.2106588879454074,6.266541192416894,1.775221880094186,0.9394357330605065,50.81967213114754,11.957569913211186,29.89392478302797
31,ACOGAB_clean,H36C992N372O124Br62Cd31,-7.852496108428917,-7.625714473173573,-8.878474145447917,-5.198185260449065,-3.680288884998853,3.9454255881747198,-1.295899999999996,2.485525588174715,2.33261,1.84055,1.78763,0.49674246938589467,15.4338,13.6347,64.2566,38.9187,2525.1,0.040000000000000036,0.3263,5.38315,0.31927903225806453,3.94797,5.063870967741935,0.3200572269328825,-2.295610677057019,9.710374702092508,3.0649996810614275,0.6456834646419037,61.34817563388992,7.66852195423624,23.00556586270872
33,acs.inorgchem.6b00433_ic6b00433_si_002_clean,H8C612N204Cu17,-5.713873590948656,-6.518300257928932,-7.559129953846161,-3.496393918485968,-4.062736035360192,2.45556422256874,-1.898699999999998,1.7303642225687392,2.71023,2.46023,0.65717,0.36308027246125446,7.9712,8.6543,56.6893,35.1736,1758.09,0.030899999999999983,0.2737,6.24338,0.4273216058394169,4.89253,5.816058394160583,0.5434726910647745,-1.5643793268663329,5.11228998716315,3.013890004014452,0.6743128200831355,72.7705112960761,0.0,24.256837098692035
34,acs.inorgchem.6b02514_ic6b02514_si_002_clean,H10C217N341Cu93,-4.456367757898029,-4.626848004684688,-4.730337788827491,-2.1994923163689584,-2.5308454724585325,2.0960025322261555,-3.0228,2.3222025322261577,1.87801,2.47568,1.06635,0.21332624500898378,13.01,11.6544,55.9615,34.181,2363.57,0.02849999999999997,0.3432,6.28281,0.5089555525606464,5.6569,5.773854447439353,0.7330039882149213,-1.3597094695939087,3.3392419091380603,1.890595167781548,0.8531307162584982,32.82904689863843,0.0,51.58850226928896
