Structures,pore_dist_mean,pore_dist_std,pore_dist_skewness,pore_dist_kurtosis,pore_dist_neff
1499489-acs.cgd.6b01265_1499490_clean,9.077472527472526,2.221412987979649,-0.5339138671251643,1.8362053885060174,4.302687411598303
ABAVIJ_clean,4.452747252747253,0.4077115602219373,-2.915834328623455,9.9058633050751,1.574633960829055
ABAVOP_clean,3.775925925925926,0.09415350976952704,-1.1021017243316644,4.768028762874667,2.8201160541586074
ABAYIO_clean,9.274454828660437,2.6071854517940944,-0.46635448015403774,1.6679857479898315,4.25446437787733
ABAYOU_clean,9.163720930232557,2.5295068213644663,-0.40801886990071307,1.6355980321321613,4.320138319193346
ABEFUL_clean,4.9,0.0,,,1.0
ABEMIF_clean,10.835094339622641,1.3514961976387914,-1.6601458920505858,4.2509771408290975,2.1577483830329847
ABESUX_clean,6.260348162475822,0.4136387039783937,-1.7972552691643333,5.095722772556833,2.4137716169232855
ABETAE_clean,6.253690036900369,0.4130429333719266,-1.701633519324974,4.603493801689154,3.0581303352071623
ABETIN_clean,,,,,
ABEXEM_clean,4.97689393939394,0.39142829479135643,-3.1826055993553637,13.950746425894609,3.2580403889304415
ABEXEN_clean,17.527983951855564,3.50341418914254,-2.4823334514517734,7.534960437025538,1.577093636310269
ABEXIQ_clean,4.92755905511811,0.36396269717883156,-2.7382315459245983,11.176343089130516,2.0417747958731565
ABEXOW_clean,4.924710424710424,0.3575001864721455,-3.1003922959063424,14.100060223761172,2.7748086866597723
ABEXUC_clean,4.9452380952380945,0.31081233628995913,-3.1437499112764273,14.17854387786158,2.6876587100050786
ABEYAJ_clean,4.901185770750988,0.3729470512534388,-2.4090585461801632,8.7151441382725,2.8376557166289844
ABEYEN_clean,4.823715415019763,0.3567403342025712,-2.4072426139492076,8.542761342779867,2.287261032696087
ABEYIR,4.834661354581673,0.32424258180125753,-2.2794345722632126,7.459162806787745,2.2491521188104673
ABEYIR_clean,4.795555555555556,0.36947744213539424,-1.8855402174880789,5.186518884992086,2.501111605157848
ABIXOZ_clean,6.543278084714549,0.8675795217363623,-1.0421470359978755,2.8554312488916316,3.166707837051198
ABIYIV,4.275438596491228,0.12948034024635138,-0.4100900504286263,1.887219530129095,2.9617137648131266
ABIYIV_clean,4.275438596491228,0.12948034024635138,-0.4100900504286263,1.887219530129095,2.9617137648131266
ABULOB_clean,5.015986394557824,0.1219856123106748,-2.1061987655625556,11.306404893757449,2.2440417467158214
